"ID","Phase","Experiment","Stress","herbivory","soil_inocula","plant_pathway_induced","Phytohormones","treatment","weight_mg","SA","JA","ABA","sum_JA_Ile","cis_OPDA","OH_JA","OH_JA_Ile","COOH_JA_Ile"
"148","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",14.1,169.48711991676,521.90728662633,298.920731860983,16.3113233147777,3789.04327277169,829.532861433847,20.9622972376614,25.4787506840062
"149","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.2,48.1206793766094,869.988573062918,414.777805689295,20.3673549357458,2661.51847399798,360.194730117872,8.57337959437725,13.1625425872032
"150","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.5,59.8710031249464,866.929444039506,267.238928525591,19.5856528031083,2204.32774218396,409.378583193785,9.36203620167808,22.8813155344005
"151","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16,36.4242109079457,2001.88179811886,620.713803112595,59.1397849462366,2467.35589301666,727.168829804004,62.6097090731202,37.0133233576012
"152","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",10.8,321.739359684933,823.447299397792,260.127662187329,18.3476031081763,1866.91141260177,329.538623468809,0,15.9859265067234
"153","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",19,46.3448299493826,740.0720264069,384.773278369777,17.9328990925445,2241.45677511431,537.19347394572,18.3947085038005,14.8366769034419
"154","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.6,43.5419758988972,1109.20806609156,605.280772629322,42.4438430566334,3335.01673319128,748.154038135317,77.0181369422403,16.9113131295065
"155","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",18.7,34.2680974661625,1352.38484989631,430.201950660959,40.5857159300712,2085.54576017556,497.835611115098,44.4779039145803,18.3679863718242
"156","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",12.6,262.879589061792,147.608667560623,65.7944479510948,2.81043386184032,1367.98578143834,0,0,0
"157","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",11.4,55.9070430503991,271.622649461012,66.2480922044628,7.47137918813238,1422.31452709708,0,0,0
"158","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",19.7,73.6085133489498,589.752249717181,373.801113925275,36.6097767601234,762.337639676766,0,0,0
"159","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",23.6,NA,NA,NA,NA,NA,NA,NA,NA
"160","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",18.9,145.46406531927,195.589586389421,359.118703589495,2.72185552779695,1040.85349986989,0,0,0
"161","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",18.4,127.812865016506,975.596129842291,405.505069598574,66.742358253654,669.000366080105,0,0,0
"162","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",15.8,92.6474661600089,128.005406363893,274.395759727911,2.16307234706237,1112.84710727484,0,0,0
"163","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",19.3,106.858070319493,112.534957875758,176.521095137361,1.5565680181538,1187.39219452158,0,0,0
"165","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",19.6,68.8202506622388,695.915792440889,421.196405939755,32.4278379131972,781.13163055248,12.1833712567303,0,0
"196","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",14.7,1841.15543425608,1002.72663106198,166.572567909077,218.824980454533,164.747889571142,33.495540468114,0,0
"197","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",17.3,682.908454693468,1581.75619954897,367.973708584049,298.577522875837,258.727347543564,49.4984692310608,0,0
"198","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",19.9,77.020991421685,624.105455761094,220.879816865519,56.7803873586859,266.720309171212,0,0,0
"199","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",18.8,576.616868251487,1078.90274363466,1134.16458513044,235.412985572478,157.779154169874,30.3516401406407,0,0
"200","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",16.5,16.8094216449655,502.35550417227,807.707399050627,30.7120236361347,457.809341795846,0,0,0
"201","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",16.2,291.876148795723,883.051357535145,265.493323270451,66.1384253677407,338.634559930409,0,0,0
"202","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",19.6,149.888266107915,1084.22588517143,696.966628899279,112.626139595677,180.646969996241,0,0,0
"203","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",19.9,134.062486686614,743.82772037155,423.608292061766,49.6891691108063,352.972916141172,0,0,0
"204","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",17.4,64.4684684799689,365.128687772266,409.1180865995,14.8108705909572,509.421437173015,0,0,0
"205","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",16,870.669095429045,1387.77526462254,701.135213184406,263.493540352203,227.931179079253,33.8005260683381,0,0
"206","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",13.4,181.269896850516,1436.99486499431,315.368321958108,46.4459084941244,2493.22992167446,1336.73290791725,32.634275575374,38.1380246498079
"207","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",18.9,238.016033591569,1058.56025747404,320.885881438403,45.8188396837718,1746.0942733126,1084.92814484618,16.5612431969228,30.3152926900571
"208","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",19.6,109.387227329089,1789.86392879862,758.136107734999,103.981775538198,1805.83988908497,794.042318013809,75.6748968688011,29.953219261441
"210","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",18.5,83.5006192390919,1232.85617145465,532.408575247187,45.8922697742502,2341.84131577727,565.560704462529,42.2489880835207,26.0641258187396
"211","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",15.3,111.312539653897,702.174413310805,419.067087810008,26.7028671405182,2519.86760635092,1508.18665207507,27.2759550521092,22.2974116086846
"212","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",17.8,245.85074890003,1596.32821063681,253.836368795784,52.8577443875629,2225.48329530796,1412.68270353675,20.8009219245174,45.0900870952729
"213","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",11.3,94.8429261513526,650.838034373775,410.233364146087,25.9554602423084,1526.89868524555,1031.85424628635,25.975240854712,14.2420409306201
"214","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",13.6,251.427226979645,1085.90659357562,592.137748681926,30.9942147687833,1300.05014242911,724.354300866879,18.488089107849,22.0612678681159
"215","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",13.6,93.6001128773325,220.072354960793,105.618025476348,3.85840874390541,840.610538886401,0,0,0
"217","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",17.4,53.6853682196932,156.987521854008,355.818176851842,3.13041992618657,718.609233608865,0,0,0
"218","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",16.3,31.8883159287348,170.133148626055,207.06572225263,5.94697986795739,804.519413301325,0,0,0
"219","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",19.1,46.2673676456592,193.530809157313,206.392775586776,4.61323013190378,566.925720842961,0,0,0
"220","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",16,103.034124286835,423.663267925671,641.05800741615,15.0367332311307,758.496303951448,0,0,0
"222","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",18.3,NA,NA,NA,NA,NA,NA,NA,NA
"223","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",13.2,40.9471753030837,126.167883743641,298.873001470192,1.33914636827066,816.981746274676,0,0,0
"224","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",23,NA,NA,NA,NA,NA,NA,NA,NA
"225","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",18,26.2940822640341,253.508304326065,192.866831799953,6.44843011831598,830.326417604138,0,0,0
"226","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",13.7,64.017508729834,333.41108850118,421.816351197391,20.7507193085276,286.952892505533,0,0,0
"227","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",12.8,47.0940237106695,730.732475036428,136.994947451554,135.258083905444,275.557304249642,23.6941039922791,0,0
"228","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",15.5,63.8867566220528,1005.10656854998,144.742241255024,105.210664021658,440.741917759886,0,0,0
"229","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",18.6,46.0104934037997,1005.8488403452,563.65258455398,142.483354302222,240.475584612172,19.0439372585865,0,0
"230","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",14.3,98.238132019614,783.434433052577,326.155041198683,152.408515191167,339.299297873702,27.0312697991476,0,0
"231","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",14.8,145.377786836596,278.261898216637,322.861659216604,6.67566200837367,835.558644367179,0,0,0
"232","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",18.2,46.3861620504464,57.9299428451761,37.5216409139283,4.13283595539584,60.2688982839954,42.6587396021872,0.777503365471788,0
"233","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",19.4,37.8786118273611,32.0206585521326,31.8801320266357,1.4840476892738,64.0777871026161,53.4771742486071,0.627726773213611,0
"234","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",18.8,45.9281817071807,41.1370122417574,29.3025932767254,6.11055156251975,53.8950272634955,24.8827469813837,0,0
"235","feedback","simulated","Aphid","aphid","SA-conditioned","NA","1","SA",12.2,36.8128997218017,25.4271830768014,86.7958660056518,3.48466113565909,75.3361543522583,31.7101198711466,0,0
"236","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",17.1,55.6000788574952,851.641242884839,214.133648813138,20.4700314349437,945.439007851677,494.557625437924,15.4540505417698,14.8745236464535
"237","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",18.4,77.9328664022278,449.64150186337,223.843798392833,9.89212869188374,851.544455443032,491.115715756907,10.7720971813948,9.98633944133026
"238","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",17.1,70.5167619056026,1563.10942446825,421.681081250543,67.7270904687348,1201.47186788132,1052.15966477523,62.9991997326726,54.9686891371755
"239","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",16.9,51.3083205890175,1434.34106112711,378.99596416004,75.2152935821575,874.078328524888,513.960631949795,21.4961661006267,17.1019222016036
"240","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",15.6,31.9908616996834,1706.13715346544,528.836619368393,48.9761389550955,1375.27496641574,841.419794373087,61.1693171013975,15.9962589394416
"241","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",12.6,128.565658055105,496.802716657878,289.260192252173,13.1402140607515,2304.27300558841,1049.95069289563,33.2161964049159,34.0477808674679
"242","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",17.1,26.1529153318894,712.654920001783,404.46395754795,23.9285695082797,2541.22812109055,907.730300609877,22.37912120727,28.9029923373422
"243","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",19.1,85.0589191877652,1168.83168444942,494.986437195469,44.171330356692,1016.58195584276,321.187568710728,43.2142585543781,19.9899739328668
"244","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",13.6,153.29865167388,80.2572825321836,31.4317969296373,4.26908216351582,69.1353524539642,115.596318425881,4.53606835062136,1.86890330973877
"245","feedback","simulated","Chewer","caterpillar","SA-conditioned","NA","1","SA",18.3,20.8204017831801,34.9634996769632,32.2603284427141,1.33821538637472,69.3533794373512,96.7095864111627,0,0
"246","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",18.7,29.7165398755841,17.886557167584,20.2745953896117,0.761110721494909,50.2316255392334,9.63900746937694,0.456666432896945,0
"247","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",18.7,18.2961556196741,66.638200714633,166.666995719507,2.28377938001386,476.177983209884,16.5311033769724,0.528495414148188,0
"248","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",14.9,61.4753792703542,89.6152634514008,322.534525487313,1.5494926489322,336.544006086848,26.0275342688934,0,0
"249","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",15.1,137.921642190261,204.291887964137,168.278002964123,5.90933655335198,591.465088924832,18.2701392198512,0,0
"250","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",13.1,151.14650925886,172.71480460342,134.372650574435,4.4357693456526,722.157612675226,20.7716674456042,0,0
"251","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",12,104.911688721497,293.182535252287,135.122613627287,11.2224960175229,697.238874192009,27.8701389057431,2.44860115491836,0
"252","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",18.9,66.2749928683488,338.527029672979,259.155763809892,13.8944444602049,522.765310913081,0,0.420279626745461,0
"253","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",10.9,84.5046726528489,219.463932361936,315.741193866592,5.88377654375082,731.523813726056,0,0,0
"254","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",19.6,28.6316275283839,105.403726925654,252.788274005335,2.50364556582136,751.025012148014,0,0,0
"255","feedback","simulated","Control","without","SA-conditioned","NA","1","SA",16.2,18.043707920678,179.282831021343,3317.6657051997,3.79945411499288,414.922004829826,0,0,0
"256","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",12.9,39.8180394583299,46.9334531144161,83.5864465159598,2.3687233353146,297.379572862386,70.0834508469257,1.46180659232261,0
"257","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",16.8,15.9395027135238,23.8905401748296,33.8839019195499,1.6424981705596,71.30011690933,41.8655997082839,0,0
"258","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",18.5,32.3154351950206,15.0115282035041,33.0983933245356,1.44711486376188,59.0547854798225,46.309148325904,0.476489040506961,0
"259","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",17.9,82.4192551190632,42.9856221277058,60.3120457654196,2.38188824342533,111.87732046124,54.2600807788385,2.05146459774165,0
"260","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",14.1,45.1671816112278,48.4887861164801,613.810386616821,3.8750459595682,182.887252154487,36.794756802403,0,0
"261","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",19.2,42.0748075570733,43.6189187895039,51.9637203850608,1.58773462984157,136.692563685118,24.4156212092192,0.340096824087136,0
"262","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",12.9,22.9319731213245,36.2131549711694,148.448853750493,1.47812298844521,330.468838503989,29.4922066510733,1.19250958231137,0
"263","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",16.5,25.0605000304555,655.654225895092,340.876963014368,36.9453107158926,1163.39549091699,548.890354581836,33.4488479636479,11.8041938484714
"264","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",13.2,334.021542993105,24.8323766303006,217.079497598839,1.86925910093673,473.591655703539,0,0.876863223260337,0
"265","feedback","real_insects","Aphid","aphid","control-conditioned","NA","1","control_plant",15.8,128.532531272582,60.43295259092,171.472997372056,1.32126529476091,626.6427431736,0,0,0
"266","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.7,20.0866066770402,1589.06136771044,547.249339042375,59.0781115302097,1718.52473397155,619.962622525649,59.2360617884908,28.1340057063656
"267","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17.9,33.4027850290379,336.386248349686,361.45449110015,12.6746559176615,1497.85052295302,391.144264300599,18.8913237148498,6.32985343554317
"268","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",18.3,31.7612847986835,71.3138817064581,58.2706582034913,4.23115028073627,157.036375913117,129.940017587841,4.92271688014643,2.59613659522983
"269","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17,13.0899230014121,39.7740550314309,41.7416232897256,2.56418649819416,88.0661852715914,76.144335587974,1.94223487948323,0
"270","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17.5,2.95524879240626,33.9687629906764,48.2112034718379,1.21105662330306,106.843806469675,73.825218667549,1.0869840071072,0
"271","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",17.8,33.1578392456325,104.956391886511,114.713661598682,5.27435049389243,172.737495304594,137.63133235389,2.48478216215696,0
"272","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.1,56.8752402851508,78.1691856645177,61.5512516998483,4.78278548055962,126.870195688547,64.2387753617415,1.85281546410218,0
"273","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",15.8,47.2800898193344,142.409569923099,125.996757954698,10.4730431267451,607.702716370042,182.011005290122,3.59391969366058,3.07550988371602
"274","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.8,85.4990495149662,837.137929285243,295.996560062776,21.7927734564292,1361.68300831214,363.447616148879,9.33237069439589,2.84218057320575
"275","feedback","real_insects","Chewer","caterpillar","control-conditioned","NA","1","control_plant",18.6,68.8490992035981,1988.32024829151,459.34111338943,75.8811061767029,1539.91622542688,742.000507366429,62.2651352444067,16.9088504670499
"276","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.1,121.065010891121,362.186499593561,260.795808692678,7.6494796108021,839.950841982289,0,1.27037621057212,0
"277","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.6,71.8764018279931,156.629438530842,516.865076163646,2.73570593648188,789.753416501563,0,0,0
"278","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",18.1,97.7720995663195,256.390134660456,325.51931970634,6.11898493212412,749.258881417513,0,0,0
"279","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",13.2,48.5376031132876,151.527472643175,181.845177605022,3.67406450962646,887.412444384108,0,0,0
"280","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.3,16.5450141132973,27.8719293721759,66.0443129946759,1.25286893658084,68.1313829097633,19.1533215997047,1.13735619774715,0
"281","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",10.3,28.856371818688,58.4751382407599,51.4803983564969,1.58680591000274,154.43354907022,22.4714685174032,1.1442882055231,0
"282","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.2,36.5107258715423,23.616212122446,31.9698267945379,1.22811566120383,64.4356132478807,9.69079049162439,0.525859822412478,0
"283","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",15.4,11.2759733244146,16.9787826150899,71.8058433979923,0.815263307036709,93.4246152896003,7.70448408202983,0,0
"284","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",16.7,62.2254449561849,146.638734552664,135.145297183985,4.04858875393066,317.013604988869,75.8388997328226,3.25214506463283,0
"285","feedback","real_insects","Control","without","control-conditioned","NA","1","control_plant",13.3,35.7296333393517,211.306887892344,190.90696763126,4.29358198459416,767.59146872593,17.7368970376223,0,0
"316","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",11.8,68.289712984468,25.104214855527,22.7318075445713,1.32446266075448,87.4966922214374,0,0,0
"317","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",16.7,25.2170421332866,41.6627452718802,34.4110884106118,1.31711262803489,65.6976124528318,0,0,0
"318","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",14.8,27.1402059128468,17.878045680972,39.5463518316069,1.3366601318838,66.9144071790023,0,0,0
"319","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",11.5,83.6994525622602,52.7480746593163,122.458092674738,2.52819343049925,469.763839913385,0,0,0
"320","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",13.5,164.868501890761,90.1245722795305,141.617757084997,2.06404137056834,599.687105221327,0,0,0
"321","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",14,2549.48687113124,698.193640720012,106.316697154421,53.2245356779027,712.166105017313,0,0,0
"322","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",14.2,341.413270808927,136.882060992675,217.34036896626,2.8324540385023,817.350162599463,0,0,0
"323","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",19.5,837.143169682369,301.682250798249,189.266866122665,12.5599973813318,708.511831122152,0,0.312318221035413,0
"324","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",17.4,464.03693053304,280.192602456817,200.148188070811,13.4871438114126,707.02871149262,0,0,0
"325","feedback","real_insects","Aphid","aphid","JA-conditioned","NA","1","caterpillar",16.3,453.975562730661,120.732378271294,255.10545399405,4.4841121043421,941.951624532473,0,0,0
"326","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",16.4,169.245909501489,457.310065231765,178.394999479915,15.9564040860131,2170.01297309662,470.391551303533,9.74151044550644,5.25918607528489
"327","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",17.8,162.617043035303,542.731201248608,382.533845976235,26.0920400291886,1727.78131411613,710.293415419442,12.7673026132633,5.01947026433724
"328","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",19.8,61.8913255569022,333.96551581784,331.651884221341,13.7468943831225,1242.55582623588,231.391136933969,21.7226972889829,12.0056358073826
"329","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",17.7,146.928354565498,449.270057598248,454.912816026218,16.1748010160468,1713.26916508165,761.488945027406,23.7939322546068,7.05818367618205
"330","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",11.2,57.2487151906299,139.827978116813,60.8670149737351,5.04418615637587,748.64674834335,113.677955000771,3.97743983931753,2.24397707409772
"331","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",15.5,81.5239872933048,2055.51739392363,388.524490455749,67.226283359408,1738.35644149822,699.820603279826,64.9756753994059,11.0461199245947
"332","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",17.7,187.025411899964,272.545945774256,271.386692865676,9.45766609658366,2090.90013522497,371.848506116402,14.6130501818909,3.97378868391968
"333","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",10.8,125.759487087071,1001.77403204439,376.975334962744,43.8225931454646,1537.72738208976,1003.47119269462,68.600042193916,18.3226181943599
"334","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",18.4,121.072243877749,729.103987053275,425.306735808783,22.3105570801892,1819.81515056032,450.557012149334,14.1995970280518,5.75639818482059
"335","feedback","real_insects","Chewer","caterpillar","JA-conditioned","NA","1","caterpillar",18,178.108247904675,361.502596760929,507.24264328746,30.5834689461333,1867.44690199259,824.252314714228,9.41029813727179,6.86089465785154
"336","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",12,230.182389275123,93.1639172616871,331.41022802151,1.32824720766212,755.209693424557,0,0,0
"337","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",18.7,87.5632753701365,152.986420790897,316.03087402913,2.08039990748104,745.618880156473,0,0,0
"338","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",17.8,146.496774728584,206.611929220922,481.225767640002,4.70370913999432,636.467724171416,0,0,0
"339","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",13.8,173.497990354715,162.758929352877,258.095814323636,3.32634995319164,692.827093158013,0,0,0
"340","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",18.3,103.898080172684,141.831407964286,199.322836377787,4.54589199736302,640.724639263777,0,0,0
"341","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",15.1,265.457717516735,140.146085361842,255.308116109331,2.34657207511622,789.782360497708,0,0,0
"342","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",18.8,93.7828969605412,124.859498329726,180.268210691714,1.98380434370787,624.158553037731,0,0,0
"343","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",18.1,41.1263499100276,67.7377092200979,165.558297963369,1.07971258699261,542.66509476162,0,0,0
"344","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",11.8,50.9587678867603,176.318468952625,200.53259674946,5.05189770175301,683.803274078012,0,0,0
"345","feedback","real_insects","Control","without","JA-conditioned","NA","1","caterpillar",19.1,117.135858341738,91.5000475685394,212.149826706486,1.85169632526593,653.700841934433,0,0,0
"346","feedback","real_insects","Aphid","aphid","SA-conditioned","NA","1","aphid",16,1176.90605076835,375.999790893408,161.38540739909,38.4970436988877,656.127943361986,0,0,0
"347","feedback","real_insects","Aphid","aphid","SA-conditioned","NA","1","aphid",19.4,123.337784319432,55.7266472458569,203.744895001791,0.936692567399969,1002.95853845097,0,0,0
